variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,val_joint_kl_loss,val_focal_loss,val_ranking_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,74,0.03336461577418142,0.03335968820462502,0.03409357799507686,0.034088232907582616,True,0.0008,0.36781540513038635,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25371496059945403,0.1401348011361228,0.16390088497923413,0.02808356374652699,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,75,0.033343410850953756,0.03333849005186509,,,False,0.0008,0.37012872099876404,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,76,0.03332957886953814,0.03332465657921842,0.03407991272548901,0.03407457440456022,True,0.0008,0.37224847078323364,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2558285907462791,0.14020768228069566,0.16375904023379723,0.029440455678871318,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,77,0.03329697683721145,0.03329206269542421,,,False,0.0008,0.3746523857116699,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,78,0.03327790583552513,0.03327300185194811,0.034082628507271624,0.03407731600247917,True,0.0008,0.37636834383010864,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2547551974369888,0.14053369900995633,0.16386348241908782,0.028637361506838457,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,79,0.03325014261105869,0.03324524341586641,,,False,0.0008,0.3786090016365051,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,80,0.03324136389687719,0.0332364647777795,0.034044299251269276,0.03403893772232546,True,0.0008,0.38046443462371826,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25503974295358195,0.14040610306257617,0.1641769519090385,0.028474959598981706,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,81,0.03322469097368065,0.03321979037059901,,,False,0.0008,0.38214871287345886,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,82,0.033194874900888294,0.03318998065031159,0.034048109795107986,0.03404281189127937,True,0.0008,0.38457784056663513,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25464854831781186,0.13992160165015563,0.16403113628009086,0.026837948949716976,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,83,0.03316866565639278,0.033163782134457025,,,False,0.0008,0.38682952523231506,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,84,0.03316158327718955,0.03315669315648668,0.03405526562454858,0.03404991655588551,True,0.0008,0.38915708661079407,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2562077854551985,0.14038471955174683,0.1637476026543597,0.028810112545419354,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,85,0.03314623518540669,0.03314135102990679,,,False,0.0008,0.39056265354156494,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,86,0.03312669349224591,0.033121816524897804,0.03406395743424376,0.034058648915637355,True,0.0008,0.3920135796070099,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2549934082694862,0.1399362019149275,0.16362763492079027,0.026975872814153583,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,87,0.033077948647762034,0.033073086963859875,,,False,0.0008,0.3944416046142578,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,88,0.03307971618163688,0.03307485228653174,0.03398628985691151,0.03398097563957258,True,0.0008,0.39615800976753235,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25573238790637315,0.13992458183891177,0.16370326373579794,0.02804585576233037,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,89,0.03305510532569448,0.03305024849874582,,,False,0.0008,0.3984728157520294,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,90,0.03304235858001648,0.03303750252655682,0.03402437761292179,0.034018982767924984,True,0.0008,0.40054765343666077,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25713876465086716,0.14039477522659516,0.16374602557967943,0.02906058653854628,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,91,0.033025766251308396,0.03302091093287234,,,False,0.0008,0.40253746509552,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,92,0.032984476030887486,0.03297963546337459,0.03406057877070976,0.034055229273910075,True,0.0008,0.40496090054512024,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25834201353567615,0.1403071905226017,0.16401524460141773,0.030611210052179032,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,93,0.03298086886197674,0.03297602293662395,,,False,0.0008,0.40689873695373535,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,94,0.03295937590621582,0.03295453450974569,0.03405422998715597,0.03404891311737691,True,0.0008,0.4083186089992523,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25799825765468454,0.14080393273889283,0.16352466250844008,0.029702741198668173,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,95,0.03295861244803727,0.0329537734885453,,,False,0.0008,0.41010579466819763,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,96,0.032934326759905035,0.03292949347015717,0.03398824646550531,0.0339828875053812,True,0.0008,0.41220125555992126,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2572712986892054,0.14052594276991756,0.1635129435127967,0.02950355254707379,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,97,0.032938181284189315,0.032933342385182786,,,False,0.0008,0.4138944149017334,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
