variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,33,0.06730351725065704,0.03477018061945869,,,False,0.0008,0.35100141167640686,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,34,0.06710832385514232,0.03475776389436333,0.07001737011669729,0.03509472257193224,True,0.0008,0.3566555976867676,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25497719969947463,0.13955654508939094,0.1686291417188516,0.02728730227493009,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,35,0.06703672582653636,0.034753586140869264,,,False,0.0008,0.361623615026474,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,36,0.06688867567676397,0.034738795092176776,0.07036189877257738,0.03508760507493442,True,0.0008,0.36700600385665894,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25608805697641257,0.1400224431563173,0.17222766060085276,0.026210904665767944,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,37,0.06675985599117158,0.03471379696213481,,,False,0.0008,0.374154657125473,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,38,0.06671122234388545,0.034726948715576376,0.07034897424790729,0.035082988766273936,True,0.0008,0.37907832860946655,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25695829534637676,0.1398159871364951,0.17177395775462642,0.02541309927499254,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,39,0.06681041445261167,0.0347352028322318,,,False,0.0008,0.3842124044895172,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,40,0.06663192029452886,0.03471408364977276,0.07067650922821829,0.0351395351433861,True,0.0008,0.38918423652648926,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25820538416320893,0.14045649200644422,0.1740886539254258,0.024681438586343283,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,41,0.06653954311675718,0.03470995387712579,,,False,0.0008,0.39350610971450806,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,42,0.0663955154626993,0.034699084403483196,0.07073617315653599,0.03508958216802573,True,0.0008,0.39965373277664185,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2588549097044567,0.14010862060869583,0.17498476415638436,0.02532437422619056,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
