variant,base_variant,split_id,deploy_context_mode,time_bin,model_bce,global_bce,pattern_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,0,1.0013621249527205e-05,1.0013611245085484e-05,1.0013611245085484e-05,-9.990842938317808e-07
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,1,1.0013614883064292e-05,1.0013611245085484e-05,1.0013611245085484e-05,-3.63303379575193e-07
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,2,1.0013613064074889e-05,1.0013611245085484e-05,1.0013611245085484e-05,-1.816516897875965e-07
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,3,1.0013611245085484e-05,1.0013611245085484e-05,1.0013611245085484e-05,0.0
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,4,1.0013612154580189e-05,1.0013611245085484e-05,1.0013611245085484e-05,-9.082584489379824e-08
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,5,1.0013627615990115e-05,1.0013611245085484e-05,1.0013611245085484e-05,-1.6348652080883684e-06
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,6,0.0940513610839843,0.1085369437932968,0.0994237512350082,0.0540352791389366
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,7,0.1056206822395324,0.1227225810289383,0.1123347654938697,0.0597685251295041
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,8,0.1013433784246444,0.1173747554421424,0.1081420332193374,0.0628678284687298
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,9,0.0979368016123771,0.1124523654580116,0.1041218265891075,0.0594018101616494
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,10,0.0965194925665855,0.1112309172749519,0.1028686836361885,0.0617213212531997
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,11,0.0960805639624595,0.110312171280384,0.1021773293614387,0.0596684747691211
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,12,0.0945203304290771,0.1080957502126693,0.100422017276287,0.0587688537561723
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,13,0.0897691547870636,0.1023259311914444,0.0948938280344009,0.054004284087681
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,14,0.0862537175416946,0.0984485149383544,0.0914751216769218,0.0570800458038035
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,15,0.0827599018812179,0.0940427258610725,0.0875463709235191,0.0546735289174083
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,16,0.0785748213529586,0.0890094116330146,0.0830388888716697,0.0537587578466995
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,17,0.077269323170185,0.0872663110494613,0.0814762562513351,0.0516338535262672
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,18,0.0752396881580352,0.0850246474146843,0.079492911696434,0.0535044376615725
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,19,0.0722800344228744,0.0820918083190918,0.0765369459986686,0.0556190415001438
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,20,0.0709810480475425,0.0803164914250373,0.0752457082271575,0.0566764574364897
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,21,0.0687201395630836,0.0778685584664344,0.0730154439806938,0.0588273409492093
