variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,36,0.0344408072974411,0.0344354759983988,0.0345032484518357,0.0344976510630981,True,0.0008,0.2917063236236572,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,37,0.0344127929895235,0.0344074819252324,,,False,0.0008,0.2938186526298523,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,38,0.0343804340225634,0.0343751375689918,0.0344799890788115,0.0344744344694512,True,0.0008,0.295590341091156,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,39,0.0343581458802442,0.0343528557090758,,,False,0.0008,0.2967591881752014,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,40,0.0343353868651336,0.0343301051544019,0.0344571290719589,0.0344515886747275,True,0.0008,0.2989921271800995,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,41,0.0343075333643262,0.0343022695740108,,,False,0.0008,0.3011424541473388,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,42,0.0342826877052735,0.0342774383723735,0.0344012907667526,0.0343957670275477,True,0.0008,0.3028172552585602,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,43,0.0342625416779045,0.0342573037781476,,,False,0.0008,0.3043993413448334,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,44,0.0342398408130006,0.034234619162645,0.0343702231835904,0.034364724537205,True,0.0008,0.3059189319610595,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,45,0.0342043333148581,0.0341991307617371,,,False,0.0008,0.3081888854503631,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,46,0.0341874214426502,0.0341822244263168,0.0344460232708055,0.0344403835358443,True,0.0008,0.3097537159919739,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,47,0.0341760434240961,0.0341708417732395,,,False,0.0008,0.3117171823978424,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,48,0.0341238981378332,0.0341187357517872,0.0343825395276517,0.0343770635725071,True,0.0008,0.3135081231594085,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,49,0.0341117742662678,0.034106609960018,,,False,0.0008,0.3152090609073639,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,50,0.0340753051183708,0.0340701581212718,0.0343248649403101,0.0343194141223039,True,0.0008,0.3173598647117615,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,51,0.034070029423293,0.0340648810224857,,,False,0.0008,0.318824827671051,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,52,0.0340583877982916,0.0340532413313462,0.034436335328519,0.0344308186067408,True,0.0008,0.3211647868156433,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,53,0.0340278699910466,0.0340227319784058,,,False,0.0008,0.3230719864368438,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,54,0.0339812154183774,0.0339761105470228,0.0343058815140247,0.0343004062922314,True,0.0008,0.3255727887153625,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,55,0.0339658411492179,0.0339607419208489,,,False,0.0008,0.3273069858551025,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,56,0.0339464595575503,0.0339413616283641,0.0343038317689925,0.0342983930667509,True,0.0008,0.3297876119613647,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,57,0.0339116559341254,0.0339065733989035,,,False,0.0008,0.3319924771785736,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,58,0.0338869016117207,0.0338818281401175,0.0342876934334552,0.0342822612419005,True,0.0008,0.3343853652477264,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,59,0.0338761235427374,0.0338710533391602,,,False,0.0008,0.3365088999271393,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,60,0.0338615335354054,0.0338564651314792,0.0342618984898801,0.0342564805154714,True,0.0008,0.3383404016494751,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,61,0.0338290479910806,0.03382399081487,,,False,0.0008,0.3410875797271728,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,62,0.0337928243976517,0.0337877796544058,0.0342653374805394,0.0342599200178878,True,0.0008,0.3427416384220123,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,63,0.0337709706007676,0.0337659308482679,,,False,0.0008,0.3454531729221344,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,64,0.0337707928451892,0.0337657523205942,0.0343024877101751,0.0342970452826432,True,0.0008,0.3471317887306213,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,65,0.033740544973622,0.0337355096499392,,,False,0.0008,0.3497914671897888,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,66,0.0337214771879776,0.0337164472731431,0.0342541445594377,0.0342487287257121,True,0.0008,0.35202357172966,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,67,0.0336801471313398,0.0336751341607924,,,False,0.0008,0.3543335497379303,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,68,0.033656666201518,0.0336516670938448,0.0343607655035459,0.0343553201233765,True,0.0008,0.35639289021492,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
