variant,base_variant,split_id,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,18.5,104,0.0328302681446075,0.0306586306542158,0.0289857275784015,0.0545654858066601
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,19.0,100,0.0310869477689266,0.0289139039814472,0.0278790034353733,0.035792487473776
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,19.5,99,0.0322978906333446,0.0302508939057588,0.0290789306163787,0.0387414432456479
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,20.0,119,0.0332919731736183,0.0310656558722257,0.0295332036912441,0.0493294649011973
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,20.5,98,0.0353725552558898,0.0337832681834697,0.031530562788248,0.066681097370087
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,21.0,103,0.0377444736659526,0.0359981022775173,0.0344455167651176,0.0431296489028907
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,21.5,122,0.0301971156150102,0.0285503230988979,0.0267947167158126,0.0614916467671435
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,22.0,126,0.0307817123830318,0.0290418658405542,0.027206864207983,0.0631847017903654
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,22.5,113,0.0430603846907615,0.0408924482762813,0.0387547388672828,0.0522763859614249
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,23.0,125,0.0350971594452858,0.0336786434054374,0.0322725847363472,0.0417492668028089
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,23.5,124,0.0353970751166343,0.0338132679462432,0.0325602926313877,0.0370557296280137
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,24.0,116,0.0361352264881134,0.0339361503720283,0.0327114723622798,0.0360877116680238
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,24.5,135,0.0403154380619525,0.0379954390227794,0.036541748791933,0.0382595982105871
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,25.0,141,0.0413717590272426,0.0393838360905647,0.0372450277209281,0.0543067558152095
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,25.5,146,0.033600989729166,0.0319700054824352,0.030667120590806,0.0407533521489398
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,26.0,127,0.0378381796181201,0.0360358692705631,0.0344604402780532,0.0437183568594187
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,26.5,147,0.0447562597692012,0.0419600643217563,0.0402352660894393,0.0411057099219616
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,27.0,154,0.0333035849034786,0.0313817001879215,0.0296363849192857,0.0556157014497099
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,27.5,170,0.0326282940804958,0.0307363308966159,0.0293003544211387,0.0467191897532349
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,28.0,149,0.0455373711884021,0.0430098138749599,0.0414082035422325,0.0372382530504248
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,28.5,162,0.0440584234893322,0.0417005121707916,0.0397176444530487,0.0475502005735983
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,29.0,164,0.0383116416633129,0.0362148657441139,0.0344114787876606,0.0497968698598981
