value,variant,model_bce,delta_bce_vs_baseline,n_trials,improvement_vs_pattern
31.0,hist_H40_D64,0.0386618748307228,-0.0008289366960524958,165,0.0659823107353439
31.5,hist_H24_D64_layers2,0.0385272949934005,-0.0005950853228569031,155,0.0651131761643043
32.0,hist_H24_D64_layers2,0.0384056605398654,-0.0007991008460522045,165,0.0612204850065322
32.5,hist_H24_D64_layers2,0.0367940701544284,-0.0004134997725487033,172,0.0515546431684084
33.0,hist_H24_D64_layers2,0.033592015504837,-0.00027199462056159973,208,0.0548811726855233
33.5,hist_H24_D64_layers2,0.0397531203925609,-0.00047689676284789345,182,0.0554490087130995
34.0,hist_H24_D64_layers2,0.0408833436667919,-0.0008825846016407013,185,0.0684193455368876
34.5,hist_H40_D96,0.0383013151586055,-0.0005416609346867024,200,0.0614873027229693
35.0,hist_H24_D64_layers2,0.0362167246639728,-0.0005928613245487005,203,0.0537742151618769
35.5,hist_H24_D64_layers2,0.0387316197156906,-0.0005323290824889998,212,0.0573280586195366
36.0,hist_H40_D64,0.0392148792743682,-0.00028243288397789695,180,0.0634908024423857
36.5,hist_H24_D64_layers2,0.0415634848177433,-0.0006327964365481983,205,0.0554786592995256
37.0,hist_H40_D96,0.0398193933069705,-0.00042869523167619883,204,0.0585010833158784
37.5,hist_H24_D64_layers2,0.0426609367132186,-0.0006741955876351027,216,0.0687490073897772
38.0,hist_H24_D64_layers2,0.0370930805802345,-0.00034019351005550036,219,0.0531710043629587
38.5,hist_H24_D64_layers2,0.0350651070475578,-0.00011951476335519962,182,0.048098217605826
39.0,hist_H40_D96,0.0368407182395458,-0.0004262514412402968,209,0.061846380179439
39.5,hist_H24_D64_layers2,0.0378571115434169,-0.000569079071283396,225,0.0686499839431749
40.0,hist_H40_D64,0.0383846387267112,-0.0006578601896763056,223,0.0692058645516219
